ID,Thumbnail 1,Thumbnail 2,Name,Type,SKU,Price,Quantity,Visibility,Status,Websites,Meta Title,Cost,Quantity Per Source,Special Price,Front-end Product Link
4271,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/6/3614.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/6/3614.jpg,Flexible LED Strip,Configurable Product,Flexible LED Strip,£66.10,0,"Catalog, Search",Enabled,Active Robots,Flexible LED Strip, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4271
4425,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/h/khm_500_1_1_1_2.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/h/khm_500_1_1_1_2.jpg,Herbie the Mousebot Kit,Configurable Product,KHM, -,0,"Catalog, Search",Enabled,Active Robots,Herbie the Mousebot, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4425
4448,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/p/kpl-dscn3053_pl_1.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/p/kpl-dscn3053_pl_1.jpg,PumLantern,Configurable Product,KPL,£22.27,0,"Catalog, Search",Disabled,Active Robots,PumLantern, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4448
4874,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/b/rb1_pl.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/b/rb1_pl.jpg,Resistor Bundle Sets,Configurable Product,RB-SETS,£3.74,0,"Catalog, Search",Enabled,Active Robots,Resistor Bundle Sets - Resistors & Trimpots - Solarbotics, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4874
4882,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/_/r_pl-250.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/_/r_pl-250.jpg,Resistor Values 100 Ohm to 10M Ohm,Configurable Product,RESISTORS,£0.17,0,"Catalog, Search",Enabled,Active Robots, -, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4882
4903,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/o/pololu-red.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/o/pololu-red.jpg,Pololu Chassis Kit,Configurable Product,RRC01A,£4.75,0,"Catalog, Search",Enabled,Active Robots,Pololu Chassis Kit, -, -, -,https://staging.active-robots.com/catalog/product/view/id/4903
5104,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn3-500.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn3-500.jpg,3mm Sintra Board,Configurable Product,SIN3MM,£4.15,0,"Catalog, Search",Enabled,Active Robots,3mm Sintra Board, -, -, -,https://staging.active-robots.com/catalog/product/view/id/5104
5110,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn6-500_1_1.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn6-500_1_1.jpg,6mm Sintra Board,Configurable Product,SIN6MM,£6.77,0,"Catalog, Search",Enabled,Active Robots,6mm Sintra Board, -, -, -,https://staging.active-robots.com/catalog/product/view/id/5110
5116,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/l/sled_pl_1_2_1.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/l/sled_pl_1_2_1.jpg,Standard LED,Configurable Product,SLED, -,0,"Catalog, Search",Enabled,Active Robots,Standard LED, -, -, -,https://staging.active-robots.com/catalog/product/view/id/5116
5250,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/l/tled_pl.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/l/tled_pl.jpg,Tiny LED,Configurable Product,TLED,£0.85,0,"Catalog, Search",Enabled,Active Robots, -, -, -, -,https://staging.active-robots.com/catalog/product/view/id/5250
5362,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/u/b/ubled_pl.jpg,https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/u/b/ubled_pl.jpg,Ultra Bright LED,Configurable Product,UBLED,£0.83,0,"Catalog, Search",Enabled,Active Robots,Ultra Bright LED, -, -, -,https://staging.active-robots.com/catalog/product/view/id/5362
